,IPSA
2024-10-22,1187.631082445257
2024-10-23,1190.1820544162174
2024-10-24,1196.7283759652607
2024-10-25,1202.1109273403663
2024-10-28,1197.4279548761722
2024-10-29,1187.06216157295
2024-10-30,1164.7760550726455
2024-11-04,1179.0711541707312
2024-11-05,1161.0259385541283
2024-11-06,1171.3599142519727
2024-11-07,1165.7712127426312
2024-11-08,1157.0648743533354
2024-11-11,1160.2415178746303
2024-11-12,1153.6646905217115
2024-11-13,1160.7949906037923
2024-11-14,1146.0079671311303
2024-11-15,1157.4000316251518
2024-11-18,1157.596681274202
2024-11-19,1158.420623852783
2024-11-20,1163.3269328548884
2024-11-21,1168.9223396772973
2024-11-22,1167.150371952862
2024-11-25,1163.4628568292926
2024-11-26,1165.2240185147334
2024-11-27,1166.2345144974204
2024-11-28,1168.1696725888976
2024-11-29,1165.3310107277805
2024-12-02,1178.479327966443
2024-12-03,1176.8647677431927
2024-12-04,1176.3051303156722
2024-12-05,1181.4756230845908
2024-12-06,1178.6448842238458
2024-12-09,1185.3917884340092
2024-12-10,1188.2212008968102
2024-12-11,1192.2704249516662
2024-12-12,1201.3258435607077
2024-12-13,1199.1580284888455
2024-12-16,1203.9975590643953
2024-12-17,1192.3092780943618
2024-12-18,1191.384113143061
2024-12-19,1186.6032602218693
2024-12-20,1184.1083462666863
2024-12-23,1180.8429625642068
2024-12-24,1181.788044058348
2024-12-26,1185.2526764301006
2024-12-27,1187.2868483345471
